datetime,headline,sentiment
2006-05-11,SC ignores Maharashtra minister's plea,-0.2732
2006-05-12,Left is set to flex muscle; but won't rock UPA boat,0.0
2006-05-13,On the run: CRPF disowns Budhia,0.0
2006-05-14,Mumbai erupts; medicos hit the street over quota,0.0
2006-05-15,Pakistan quick to deny charges,-0.5423
2006-05-16,Sikh girl patrols Kabul streets,0.0
2006-05-17,Hyderabad store robbed of jewellery worth Rs 10 cr,0.2263
2006-05-18,Take care of all while extending quota; says Sonia,0.4939
2006-05-19,Quota issue: All help in creating more seats; says FM,0.5994
2006-05-20,OBC students protest divide and rule,-0.25
2006-05-21,No record of Netaji crash,-0.5994
2006-05-22,Roll over: It is boom time for the laughter industry,0.4939
2006-05-23,Manmohan talks of fuel hike,0.0
2006-05-24,Govt to implement 27% quota for OBCs from June 2007,0.0
2006-05-25,Did Gujarat CM assure Fanaa producer?,0.34
2006-05-26,Now; victims disappear,-0.4939
2006-05-27,Striking medicos get dollar boost,0.4019
2006-05-28,Infrastructure May Disrupt Govt's Reservation Deadline,0.0
2006-05-29,Govt balm for Indian workers in Gulf,0.0
2006-05-30,Harley wants India to clear air on emissions,0.3818
2006-05-31,'Fakes' cost govt Rs 15;000 cr/yr,0.0
2006-06-01,TN passes resolution supporting 27% quota,0.4404
2006-06-02,Centre suspects SIMI aiding terror groups,-0.7003
2006-06-03,Bachchans are worth Rs 227 cr,0.2263
2006-06-04,Mahajan's former aide under police scanner,0.0
2006-06-05,Sahil gave dope to Rahul; forensic test confirms heroin,-0.4939
2006-06-06,Police arrest Rahul Mahajan under Narcotics Act,-0.34
2006-06-07,Israeli tourists get sermons in India,0.0
2006-06-08,Hospital for Bhopal victims turning away critical cases,-0.5574
2006-06-09,Criminal gunned down in South Delhi,-0.5267
2006-06-10,India; US to resume talks on nuke deal,0.0
2006-06-11,Stage set for Cong secretariat revamp,0.0
2006-06-12,Navy leak: Prime accused 'flees' Britain,-0.5574
2006-06-13,Threatening calls to Varun,-0.5267
2006-06-14,Bachchans face 37 income tax notices,0.0
2006-06-15,Cong warns Left against cosying up to BJP 'friends',-0.1027
2006-06-16,After MiG nightmare; IAF now worried about Jag problem,-0.5994
2006-06-17,Rakhi finds support at NCW,0.4019
2006-06-18,Man-made Shiva lingam betrays faith at Amarnath caves,-0.1779
2006-06-19,Lankan Navy fires at Indian fishermen,0.0
2006-06-20,India's UNSC chances will not be affected: Tharoor,0.3058
2006-06-21,Saran to seek N-deal support from Japan,0.4019
2006-06-22,Ramadoss's bonanza pill for doctors,0.0
2006-06-23,Left slams govt's Nalco decision,0.0
2006-06-24,Ambanis at it again: Anil says Mukesh is violating pact,-0.5423
2006-06-25,Road manners drive PM angry,-0.5106
2006-06-26,Ministry mulls smart cards for kitchen fuels,0.4019
2006-06-27,Bihar JD(U) MLA assaults minister,-0.5423
2006-06-28,US wary of Chinese Navy's might,0.0
2006-06-29,Fresh probe into wheat deal with Australia soon,0.3182
2006-06-30,Sadhu Yadav assaults candidate; externed,-0.5423
2006-07-01,Teen's cyber prank sparks Interpol alert,0.296
2006-07-02,Three get death for Akshardham attack,-0.7906
2006-07-03,Akal Takht bars SAD chief Mann from attending religious functions,-0.5904
2006-07-04,Babloo Srivastava gets lifer for murder,-0.6908
2006-07-05,Quota would not lower academic standards,0.2235
2006-07-06,Mulayam enemy No. 1,-0.6908
2006-07-07,Mittal to meet PM today,0.0
2006-07-08,Love in the time of media,0.6369
2006-07-09,A Rajasthan village where prostitution is tradition,0.0
2006-07-10,The rising in Maharashtra's Naxalbari,0.0
2006-07-11,Rahul meets a match in Shweta,0.0
2006-07-12,LeT; SIMI hand in Mumbai blasts,0.4939
2006-07-13,Kerala tells SC it will prosecute Karunakaran,-0.4019
2006-07-14,Anti-terror set-up to be upgraded,0.0
2006-07-15,Banned SIMI operating under new names,-0.4588
2006-07-16,Nepal new transit point,0.0
2006-07-17,Cyber Terror: Of wedding dates and newborns,-0.5267
2006-07-18,Tribals: An easy prey for Naxals,0.4404
2006-07-19,More strikes in Delhi; Mumbai; warns 'Qahar',-0.4927
2006-07-20,Centre warns Mumbai of fresh terror attacks,-0.6597
2006-07-21,4 MP e-mails claim blast responsibility,0.0
2006-07-22,Jet lag: Paris to Mumbai in 41 hours,-0.34
2006-07-23,Indian team heading to Kenya for Tunda's deportation,0.0
2006-07-24,Sharing police info across the world,0.4215
2006-07-25,Sabari head priest sacked for sexcapade,0.0
2006-07-26,Samaritan loses battle for life,-0.5994
2006-07-27,Parents get gift rap from schools,0.4404
2006-07-28,Govt may release Ulfa leaders ahead of talks,0.0
2006-07-29,Fifth working group on J&K status soon,0.0
2006-07-30,Muslim MPs say it's a witchhunt; seek CBI probe,0.0
2006-07-31,Bahrain fire victims' bodies to arrive today,-0.5719
2006-08-01,Buddha; Basu in spat over 'evil' Dalmiya,0.0
2006-08-02,Dramatic rescue for Gurgaon resident,0.5106
2006-08-03,Foreigners relish desi food,0.0
2006-08-04,IAF chief on US recce,0.0
2006-08-05,Common tests can't detect many heart cases in women,0.0
2006-08-06,Tit for tat: India; Pak play 'spy games'; expel envoys,-0.128
2006-08-07,LeT module busted in Jammu,0.0
2006-08-08,'Who's for conversion; Sonia or the Pope?',0.0
2006-08-09,India to lose 16m to AIDS by '26,-0.4019
2006-08-10,IAF rules favour fighter pilot,0.5423
2006-08-11,Colas losing fizz in UP schools,-0.3818
2006-08-12,Natwar back in attacking mode,-0.4588
2006-08-13,Suicide bomber may target Delhi; cops out on terror hunt,-0.836
2006-08-14,PM's I-Day speech to focus on terror,-0.5267
2006-08-15,Young India: Faces of the future,0.0
2006-08-16,PM talks tough on terror,-0.5994
2006-08-17,Manipur Iskcon temple attacked; 4 dead,-0.8074
2006-08-18,Govt blinks on office of profit Bill,0.4404
2006-08-19,Amisha gets involved in airport fracas,0.0
2006-08-20,Second coming of Super Bazar,0.5994
2006-08-21,Stroke of luck saves passengers from burning train,0.4588
2006-08-22,Bismillah Khan becomes immortal in death,-0.4404
2006-08-23,Anti-quota stir comes back to life,0.0
2006-08-24,LeT behind 7/11 Mumbai blasts: Al-Badr,0.0
2006-08-25,Jubilee Kumar's bungalow up for grabs?,0.0
2006-08-26,Soon; BPO employees will destress,0.0
2006-08-27,Dutch deny racial profiling charge,-0.34
2006-08-28,Govt still defiant on RTI,-0.2263
2006-08-29,NRIs get lifer for murder of 8-year-old,-0.6908
2006-08-30,Hum do; hamare do - only with a boy,0.0
2006-08-31,ED seeks changes in law to give it more teeth,0.0
2006-09-01,SC upholds death for two killer sisters,-0.8481
2006-09-02,Lebanon to pay $33;000 to victim from Orissa,-0.3612
2006-09-03,Ganpati faces I-T attention,0.0
2006-09-04,Maharashtra cops get net-savvy; quiz accused on webcam,-0.296
2006-09-05,Our Man to meet Musharraf in Havana,0.0
2006-09-06,Where have all the vultures gone?,-0.3182
2006-09-07,Telgi causes tremors; Pawar denies role,-0.4215
2006-09-08,Elephantine problem in Bandipur Reserve,-0.4019
2006-09-09,SC gives Raja Rs 5;000-cr smile,0.3612
2006-09-10,Loreto's date with 'Jesus',0.0
2006-09-11,Lanka ignored new peace bid: LTTE,0.296
2006-09-12,Garba artistes flying West,0.0
2006-09-13,'Satyagraha' defaced,0.0
2006-09-14,Verdict on 1993 'bomb planter' today,-0.3818
2006-09-15,Gujarat con men crowd Interpol site,0.0
2006-09-16,Abu Salem waits for verdict on Sanjay Dutt,0.1531
2006-09-17,Falling Parsi populace gets 'roof' of hope,0.3182
2006-09-18,Clerics issue fatwas for cash,0.0
2006-09-19,Lalu Express storms IIM-A,0.0
2006-09-20,Thailand off-limits for holidayers?,0.0
2006-09-21,Land of Smiles not a hot spot for now,0.4767
2006-09-22,PM to visit Pak if action matches promise,0.3182
2006-09-23,Cleric delinks Eid & moon sighting,0.0
2006-09-24,PM to set up GoM to tap tourism potential,0.0
2006-09-25,Belgian embassy woman murdered,-0.6597
2006-09-26,Arunachal powers ahead with Rs 1;00;000-cr plan,0.0
2006-09-27,Chopper cheaper than car?,0.0
2006-09-28,Moily sets 3-year deadline for IITs; IIMs,0.0
2006-09-29,Terminal fast: Woman dies,0.0
2006-09-30,Four arrested; ATS says 7/11 cracked,-0.4767
2006-10-01,Monica shares cell with 22,0.296
2006-10-02,How Munna hooked us to Gandhigiri,0.0
2006-10-03,I pointed towards her and fired the shot,-0.5574
2006-10-04,Dengue outbreak may hit inward travel,0.0
2006-10-05,Shiv Sena to break away from BJP,0.0
2006-10-06,SC seeks CVC status report on 'whistle-blowers',0.0
2006-10-07,7/11 blasts: US gets a proof of Pak role,0.0
2006-10-08,Sex & BPO: Crackdown on,0.0
2006-10-09,Japan wreck: 8 Indians still missing,-0.6249
2006-10-10,Police admit to lapses in Jessica case,0.2023
2006-10-11,Afzal should be publicly hanged,0.0
2006-10-12,Quota shock: Fee hike in IIMs; IITs,-0.3818
2006-10-13,Barak kickback Rs 174 cr: CBI,0.0
2006-10-14,Bole toh; these Munnabhais grab IT; BPO jobs,0.0
2006-10-15,India spotted Yunus before Nobel panel,0.0
2006-10-16,RIL project: Centre seeks details of Chinese staff,0.0
2006-10-17,No noose; Gujarat opts for chair,-0.296
2006-10-18,Mattoo killer to be sentenced on Oct 30,-0.6597
2006-10-19,Scientist's research attracts global attention,0.4019
2006-10-20,Hailstorm damages crops in J&K,-0.4404
2006-10-21,Angelina leaves for Jodhpur with kids,0.0
2006-10-22,Boy killed in explosion in Doda,-0.6705
2006-10-23,Good proof of Pak hand in 7/11: Narayanan,0.7269
2006-10-24,Pranab tipped to get External Affairs,0.0
2006-10-25,Pranab gets External Affairs; Antony Defence,0.1027
2006-10-26,Caste census? Govt already has one,0.0
2006-10-27,Life lesson goes under hammer at IIM-A,0.0
2006-10-28,Crushing pills could be fatal,-0.7184
2006-10-29,After drugs; HIV has Punjab village in its grip,0.0
2006-10-30,3 suffocate to death inside car,-0.5994
2006-10-31,After 10 years; noose for Mattoo's killer,-0.6486
2006-11-01,Drunk on power,-0.34
2006-11-02,Fixed term: Top cops only?,0.2023
2006-11-03,Activists' Mahakumbh comes to the Capital,0.0
2006-11-04,Left almost pulled out over N-deal,0.0
2006-11-05,War-room leak: Retd Navy officer arrested,-0.6705
2006-11-06,Forged caste certificate a constitutional fraud,-0.5859
2006-11-07,If men have a problem; they should speak up,-0.4019
2006-11-08,Meet on EPF rate cut ends in stalemate,-0.2732
2006-11-09,A tall Sikh; not Manu; shot Jessica: Jethmalani,0.0
2006-11-10,Badr man Fahad set up sleeper cells,0.0
2006-11-11,NHAI plans measures for accident victims,-0.6597
2006-11-12,The new male crisis,-0.6249
2006-11-13,US senator outsources speech to India,0.0
2006-11-14,12 lakh children still stuck in 'hazardous' jobs,-0.25
2006-11-15,Creamy layer: Govt evaluating options,0.0
2006-11-16,'We don't feel allergy to growing Indo-US ties',0.1779
2006-11-17,Katrina served legal notice,0.128
2006-11-18,Nuke deal So far so good but,0.3685
2006-11-19,Here's the great Indian newspaper,0.6249
2006-11-20,LeT raises women jehadis in its terror network,-0.5267
2006-11-21,Haj pilgrims to be given polio vaccine,0.0
2006-11-22,'India's growth an opportunity; not a threat',0.8007
2006-11-23,Defence Academy gets a rural splash,0.1027
2006-11-24,BJP uses Afzal to keep the heat on,0.0
2006-11-25,Dawood-Shakeel feud led to deportations,-0.34
2006-11-26,Tougher rules soon for nursing homes; clinics,0.1779
2006-11-27,RDX used in Bengal train blast,0.0
2006-11-28,Sanjay Dutt's moment of truth on Tuesday,0.3182
2006-11-29,There's justice after all; feel pals,0.5267
2006-11-30,Explain Soren taint: BJP to govt,0.0
2006-12-01,Sachar puts Cong in quota dilemma,-0.1779
2006-12-02,Second line HIV treatment a reality?,0.0
2006-12-03,Israeli imprint in Prithvi missile test,0.0
2006-12-04,Bangla; Nepal terror breeding grounds,-0.5267
2006-12-05,Navy set for war games on foreign shores,-0.5994
2006-12-06,Onus on illegal migrants to prove Indian citizenship,-0.5574
2006-12-07,No sanction needed to prosecute corrupt politicians,-0.5994
2006-12-08,Indian men don't measure up,0.0
2006-12-09,Get passport without cop report?,0.0
2006-12-10,The killing of mother tongue,-0.6597
2006-12-11,No hostage-terrorist swap now,-0.296
2006-12-12,PM's remark: Govt; Cong walk tightrope,0.0
2006-12-13,N-deal: Govt won't walk away from negotiations,0.0
2006-12-14,Around the world on willpower; little else,0.0
2006-12-15,India is No.1 nation of shopkeepers,0.0
2006-12-16,Govt sets April date for 123 pact,0.0
2006-12-17,IIM-A students take Left turn,0.0
2006-12-18,Now; burqas get a crystal cut,-0.2732
2006-12-19,'Judgment will impact country's politics',0.0
2006-12-20,Loyal servant gets multi-crore gift,0.7184
2006-12-21,Manu gets life term,0.0
2006-12-22,It's India for holidaying CEOs,0.0
2006-12-23,India gets its first Dalit Chief Justice,0.5267
2006-12-24,Why Hindus are learning Arabic,0.0
2006-12-25,Wind causes traffic jam in Delhi skies,0.0
2006-12-26,Bank loans are big no-no in NRI districts of Gujarat,0.0
2006-12-27,Relaxed Manu helps inmates in Tihar,0.7003
2006-12-28,22% of migrants to Mumbai are kids,0.0
2006-12-29,2 Pak 'spies' caught in Lucknow,0.0
2006-12-30,Jewellers lift ban on burqa-clad customers,-0.5574
2006-12-31,Close shave for Munde as Merc crashes into tree,0.0
2007-01-01,Liquor to flow in dry Gujarat SEZs,0.0
2007-01-02,Mosquito scare keeps NRI tourists off Gujarat,-0.4939
2007-01-03,India-made BrahMos to hit global arms market,0.0
2007-01-04,Noida killings: As anger rises; UP sacks 6 cops; suspends 3 officers,-0.8481
2007-01-05,Red tape fails to bind Pak team,-0.4215
2007-01-06,Cannibal Surendra?,0.0
2007-01-07,Noida cops try to suppress facts,0.0
2007-01-08,ULFA strikes again in Assam; kills nine people,-0.7184
2007-01-09,Marry-and-dump NRIs may face Indian law,0.0
2007-01-10,Kalam sets tone for engagement of global Indians,0.4588
2007-01-11,Plan panel may cut SSA budget,-0.2732
2007-01-12,TOI is buzziest media brand,0.0
2007-01-13,SC dismisses Afzal's death review plea in Parliament attack case,-0.7906
2007-01-14,'Judges can't cosy up to MPs',0.0
2007-01-15,SC dowry ruling: Reality not taken into account,0.0
2007-01-16,Baggage blues hit air travellers,0.0
2007-01-17,Govt takes note of racist slur on Shilpa,-0.6124
2007-01-18,Feeble attempt to stop frivolous PILs,-0.5267
2007-01-19,Racism allegation is a serious matter; says UK watchdog,-0.6486
2007-01-20,No man-animal conflict this time,-0.5423
2007-01-21,'Parzania' rekindles hope for Parsi parents,0.4404
2007-01-22,We are not afraid of competition,0.0
2007-01-23,Health ministry offers hope for hearing-impaired,0.4404
2007-01-24,India; Russia may export 1;000 BrahMos,0.0
2007-01-25,Savarkar's grandson finds refuge in MNS,0.0
2007-01-26,No space weaponisation,-0.296
2007-01-27,3;500 execs pledge blood for stem cells,0.0
2007-01-28,CT scan detects only 1 in 4 cases of stroke: Study,0.0
2007-01-29,TV interview of accused can count as evidence: SC,-0.296
2007-01-30,J&K top state in English-medium education: Report,0.2023
2007-01-31,Mittal's 5-cr gift to Rajasthan hometown,0.4404
2007-02-01,Foreign grads flock back home to Punjab,0.0
2007-02-02,Gulzar doesn't find name on voters' list,0.0
2007-02-03,Maharashtra civic polls see saffron surge,0.0
2007-02-04,6.11% inflation has PM worried; assures check,0.0258
2007-02-05,Is Parliament's will also the people's will?,0.0
2007-02-06,Retail giants likely to opt for wholesale route,0.0
2007-02-07,Cong backs Sonia's call to go slow on FDI,-0.0516
2007-02-08,India set to enter global top 10,0.2023
2007-02-09,Air rage: Tempers soar in sky,-0.7096
2007-02-10,Dawood clips Anees; Shakeel's wings,0.0
2007-02-11,Bloody ruby valued at Rs 6.3 cr,0.0
2007-02-12,Parsi theatre academy to come up in Surat,0.0
2007-02-13,Moily report has bad news for corrupt babus,-0.5423
2007-02-14,Love: Think Abhi-Ash; not St. Valentine,0.6369
2007-02-15,Hawala route used to transfer money,0.0
2007-02-16,Six disqualified UP MLAs quit ministries,-0.4215
2007-02-17,Quality of Russian arms worries India,-0.4215
2007-02-18,J&K: Another custodial death triggers violence,-0.8402
2007-02-19,Government set to 'cradle' girl child,0.0
2007-02-20,Prof murder case falling apart?,-0.743
2007-02-21,Push Centre for troop reduction or will pull out of J&K govt: Mufti,0.0
2007-02-22,No Central rule: Mulayam stands to gain,0.296
2007-02-23,A new village is born,0.0
2007-02-24,Elusive Ottavio Quattrocchi held in Argentina,0.0
2007-02-25,Umaid Bhawan dolls up for Liz,0.0
2007-02-26,Kolkata woman bears US couple's child in Anand,0.0
2007-02-27,Banks must stop hiring musclemen to extract dues,-0.296
2007-02-28,Mahabodhi Express to Gaya cancelled,-0.25
2007-03-01,Rajasthan cops quiz Biti's father,0.0
2007-03-02,He has a 'Vision 2020' for Bihar!,0.3164
2007-03-03,Puri temple in 'cleansing act' after American's entry,0.0
2007-03-04,Boy needs love & affection; not jail,0.8225
2007-03-05,Jharkhand MP shot dead by Maoists; CBI to probe killing,-0.8658
2007-03-06,Legal heir can 'inherit' criminal complaint: SC,-0.6249
2007-03-07,Big 'Q' mark over Army's revamp plan,0.0
2007-03-08,Government may levy income tax on dividends,0.0
2007-03-09,Watch the WC action on a cruise liner,0.0
2007-03-10,'Ketch-up' Brigadier reinstated,0.0
2007-03-11,Air India trims 'excess' cabin crew,0.0
2007-03-12,Next American Idol may be Indian,0.0
2007-03-13,Beggar pays Rs 36;000 premium,0.0
2007-03-14,IIM-A pay packets touch Rs 1 crore,-0.1027
2007-03-15,HC refuses to grant bail to Shibu Soren,0.3612
2007-03-16,Red terror strikes again: Maoists attack police; slaughter 55,-0.8402
2007-03-17,4 foreigners feared dead in crash,-0.8807
2007-03-18,Nip & tuck your way to a promotion,0.0
2007-03-19,Citizens least happy with telecom sector,-0.4585
2007-03-20,Cong team assails CPM; Buddha,0.0
2007-03-21,SC defines what is a woman's modesty,0.0
2007-03-22,TOI is undisputed No.1 in Delhi,0.0
2007-03-23,European Union report on Kashmir backs India's stand,-0.0516
2007-03-24,SEZs are here to stay; says PM,0.0
2007-03-25,Bust of Ranjit Singh's son to be sold,0.0
2007-03-26,Antony rules out troop cut in Jammu & Kashmir,-0.2732
2007-03-27,20-yr-old letter brings Mahajan feud to fore,-0.34
2007-03-28,No record of Netaji's role in freedom struggle!,0.2481
2007-03-29,IIT-Madras; top B-schools line up online course plans,0.2023
2007-03-30,SC puts brakes on quota: New regime unlikely this year,0.0
2007-03-31,LTTE hand in killing of Indian fishermen?,-0.296
2007-04-01,Narasimha Rao finds defender in Manmohan,0.1027
2007-04-02,Gir: Pesticide theory gains credence,0.34
2007-04-03,Q case: CBI team returns; deportation uncertain,-0.296
2007-04-04,Fresh ammo for Trinamul; BJP,0.3182
2007-04-05,Khalistan ideologue Jagjit Chohan dead,-0.6486
2007-04-06,Minority issue: HC verdict upsets Muslims,-0.2263
2007-04-07,UP polls: Mulayam looks for solid opening,0.1531
2007-04-08,American dream turns sour,0.25
2007-04-09,Fair criticism of judiciary justified,0.2732
2007-04-10,Now showing; night safari just for you,0.0
2007-04-11,Justice Shethna resigns; alleges victimisation,0.2732
2007-04-12,Now 'janta meal' for aam admi,0.0
2007-04-13,In UP campaign; you don't talk about corruption,0.0
2007-04-14,Police; lawyers clash in Allahabad,0.0
2007-04-15,Plea of woman officer facing court-martial rejected,-0.5106
2007-04-16,HIV infection in kids detected late,0.0
2007-04-17,SC to examine if foreign-born can hold office,0.0
2007-04-18,'Rahul Gandhi doesn't know when to keep quiet',0.0
2007-04-19,Curb national pecking disorder,-0.4019
2007-04-20,Cops: MP is a serial human smuggler,-0.4767
2007-04-21,Saran eyes C'Wealth secy-general's post,0.0
2007-04-22,10 Indians under scanner for $9bn fraud,-0.5859
2007-04-23,Rigid stance of US puts N-deal at risk,-0.3818
2007-04-24,IIMs likely to lose autonomy,-0.4019
2007-04-25,Senior IAS officer in CBI net,0.0
2007-04-26,Charges filed against Judeo; Ajit Jogi's son,-0.2732
2007-04-27,Gere's arrest warrant outrages legal experts,-0.6369
2007-04-28,UP polls: Stage set for bitter battle,-0.6597
2007-04-29,Was Kauser Bi's body burnt?,0.0
2007-04-30,Crisis point: Not enough diplomats in India,-0.6249
2007-05-01,New problem: What about 'illegal' foreigners?,-0.4019
2007-05-02,Got Rs 45 lakh? Buy Canadian citizenship,0.0
2007-05-03,India; US put nuclear deal back on track,0.0
2007-05-04,Documentary shows failure of Project Tiger,-0.5106
2007-05-05,Kissing row: Magistrate unfazed,0.5719
2007-05-06,Early classes for freshers in offing,0.0
2007-05-07,GenNext banks on guru gyan,0.0
2007-05-08,Bush call to PM fuels nuclear hope,0.4404
2007-05-09,945 Indian kids find home in US,0.0
2007-05-10,PM files nomination,0.0
2007-05-11,Urban India wants Kalam as Prez again,0.0
2007-05-12,It's nothing but Maya in UP,0.0
2007-05-13,Mayawati to take oath today,0.0
2007-05-14,Family feud: Dayanidhi forced to quit Cabinet,-0.6597
2007-05-15,US consulate says sorry; to home-deliver Amte's visa,-0.0772
2007-05-16,China wants tiger parts trade made legal,0.128
2007-05-17,Left ready for Pranab; Congress undecided,0.1531
2007-05-18,Black Friday: Mumbai blasts sentencing today,-0.1531
2007-05-19,Life or death? Judges differ on sentence,-0.5574
2007-05-20,What makes Kalam people's Prez,0.0
2007-05-21,Chhota Rajan takes potshots at film,0.0
2007-05-22,Nigerian diplomat caught with $2.3m,0.0
2007-05-23,Furore in UP assembly over guv remarks,0.0
2007-05-24,IIM-C inks research pact with Leeds,0.0
2007-05-25,Anil's SEZ runs into Mayawati roadblock,0.0
2007-05-26,Unplug to get eco-friendly,0.0
2007-05-27,Of stubbles and troubles,-0.4588
2007-05-28,If Mulayam govt was unconstitutional; why was governor silent?,0.0
2007-05-29,Children at war in insurgency zone,-0.5994
2007-05-30,PF rate may be decided on July 2,0.0
2007-05-31,BMW witness offered Rs 2 cr to save Nanda: TV sting,0.4939
2007-06-01,Gujjar anger hits Delhi too,-0.5719
2007-06-02,JEE toppers can lie & earn,0.0
2007-06-03,One fateful night; three versions from Kulkarni,0.0
2007-06-04,Coaching centres bestow lavish gifts on toppers,0.0
2007-06-05,Goa winners,0.4767
2007-06-06,Fresh trouble for BJP after Goa defeat,-0.5267
2007-06-07,Murder case filed against Gujjar leader Bhaisala,-0.6908
2007-06-08,Now; Sahara comes in Maya crosshairs,0.0
2007-06-09,India's heritage now feels the heat,0.0
2007-06-10,Green means big bucks for cotton farms,0.0
2007-06-11,North India reels under heat wave,0.0
2007-06-12,Only centrist politics will work in India,0.0
2007-06-13,For Left; it's still Pranab over Patil,0.0
2007-06-14,HC says strike illegal; IA staff ignores it,-0.7351
2007-06-15,'CBI didn't have valid warrant against Q',0.0
2007-06-16,Sena to decide on Prez nominee on June 19,0.0
2007-06-17,Booking profits,0.4404
2007-06-18,After Nandigram and Singur; it's Burnpur,0.0
2007-06-19,Nuke deal may not be finalised this year,0.0
2007-06-20,Out-of-school students: Bengal first; Bihar 2nd,0.0
2007-06-21,I am sick of not taking a shower,-0.5106
2007-06-22,Scramble on for American green cards,0.0
2007-06-23,Presidential poll takes murky turn,0.0
2007-06-24,Lighting up lives in rural India,0.0
2007-06-25,Fraud Sangh expert goes into hiding,-0.7184
2007-06-26,Bomb explodes after Soren convoy passes,-0.4939
2007-06-27,Maya grew 400% richer in 3 years,0.5267
2007-06-28,Govt seeks to grab rare Gandhi letter up for sale,0.0
2007-06-29,India has 1 lakh millionaires,0.0
2007-06-30,India; US to hold another round of talks on N-deal,0.0
2007-07-01,Big market for sex toys despite ban,0.4449
2007-07-02,YSR shoots off letters to PM,0.0
2007-07-03,19 killed in Himachal bus accident,-0.8225
2007-07-04,Bhartiya Janshakti preparing for 2008 MP Assembly polls,0.0
2007-07-05,HC reserves order on plea against Pleasant Stay Hotel,0.5106
2007-07-06,B'lore engineer drove flaming jeep,0.0
2007-07-07,Kafeel was Glasgow bomber; says father,0.0
2007-07-08,Rahul's fans bring youth wing 'back',0.0
2007-07-09,Former PM Chandra Shekhar is dead,-0.6486
2007-07-10,5 feared dead as ONGC ship sinks,-0.8176
2007-07-11,Ambedkar may dwarf Statue of Liberty,0.5267
2007-07-12,Cops walked into Maoists' trap,-0.3182
2007-07-13,Showpiece project under Look-East policy shelved,0.0
2007-07-14,Dutchman doesn't get fill; goes to cops,0.0
2007-07-15,Bihar IAS officer known for standing up to politicians,0.0
2007-07-16,Desperate lover parcels bomb to post office,-0.1779
2007-07-17,Monica wants to resume acting career,0.0
2007-07-18,India to launch Israeli spy satellite,0.0
2007-07-19,In jail; Haneef treated like a terrorist,-0.4939
2007-07-20,Do Christians also practise caste system; asks SC,0.0
2007-07-21,V-P polls: BSP to finalise its stand soon,0.0
2007-07-22,Cross-voting gives Pratibha huge win,0.7269
2007-07-23,NDA fields Najma for vice-president,0.0
2007-07-24,3 suicides in 4 hrs at Lucknow building,0.0
2007-07-25,First Dalit CJ to swear in first woman Prez,-0.0516
2007-07-26,Now; book hotel rooms in tourist spots online,0.0
2007-07-27,Man convicted of rape without proof,-0.6908
2007-07-28,Judges inquiry Bill sparks a row,0.0
2007-07-29,Ordeal over; Haneef on way home,0.0
2007-07-30,Indian family values intact: Survey,0.5423
2007-07-31,Memon surname has destroyed Yakub,-0.4939
2007-08-01,Sanjay sent back to jail; to move SC soon,0.0
2007-08-02,123 pact text to be released on Friday,0.0
2007-08-03,Munnabhai in Gandhi's jail,0.0
2007-08-04,Shimla toy train is India's entry for heritage list,0.0
2007-08-05,Chhole millionaire gives Delhi's netas heartburn,0.0
2007-08-06,Rare 200-yr-old painting found,0.0
2007-08-07,Two Kolkata students drown,-0.5719
2007-08-08,Chhattisgarh puts forest officers in charge,0.0
2007-08-09,Dawood trail: CBI writes to Interpol in Pak,0.0
2007-08-10,Sanjay Dutt's petition not to get precedence,0.0
2007-08-11,No pension in 35 yrs for freedom fighter,0.5574
2007-08-12,38 hurt in J&K ammo depot fire,-0.7003
2007-08-13,Now Budhia says coach tortured him,-0.5574
2007-08-14,Gory images on cigarette packets,0.0
2007-08-15,Sainiks ransack magazine's Mumbai office,0.0
2007-08-16,Australia will sell uranium to India,0.0
2007-08-17,Delhi Police chief finds faults in Jessica probe,-0.4767
2007-08-18,Madhya Pradesh CM denies graft charges,-0.5994
2007-08-19,India to give anti-terror lessons to foreign armies,0.0
2007-08-20,Conquering the skies at 25,0.0
2007-08-21,Sanjay may be out on bail for a month,0.0
2007-08-22,Abe to address House today,0.0
2007-08-23,Red bastions upset with Left on N-deal,-0.3818
2007-08-24,Govt to take up gurdwara issue with Pak,0.0
2007-08-25,Throw 80% MPs into the sea,0.0
2007-08-26,RTI appeal gets 3 different responses from 3 High Courts,0.0
2007-08-27,India loses maximum lives to terror except Iraq,-0.6908
2007-08-28,It's terror; no use denying it,-0.7906
2007-08-29,Jail bends rule for Sallu on rakhi,0.0
2007-08-30,Salman lawyers race against time for bail,0.0
2007-08-31,Salman takes to sketching in prison,-0.5106
2007-09-01,Salman case: Next hearing on Oct 24,0.0
2007-09-02,J&K panel to talk local governance,0.0
2007-09-03,Lead India: Justice for all,0.5267
2007-09-04,Bilal plotted IISc attack too: Cops,-0.4767
2007-09-05,Corruption: Ghoos that lays golden eggs,0.0
2007-09-06,No interim relief for govt staffers ahead of Diwali,0.2263
2007-09-07,No exception to sex test ban,-0.7003
2007-09-08,Two masters; a brush and a bat,0.0
2007-09-09,25 years later; trust taint haunts Antulay,0.3182
2007-09-10,Smuggled timber worth Rs 6 lakh seized in HP,-0.1531
2007-09-11,NRM's pick: Indo-Russian anti-terror wargames begin today,0.0
2007-09-12,Two pilots killed in IAF trainer crash,-0.802
2007-09-13,Pranab to seek confirmation of KP's arrest,-0.34
2007-09-14,Quietly; IAF tests its sting on western front,0.0
